Date,Open,High,Low,Close,Adjusted_close,Volume
03/01/2022,177.83,182.88,177.71,182.01,179.9539,104487900
04/01/2022,182.63,182.94,179.12,179.7,177.67,99310400
05/01/2022,179.61,180.17,174.64,174.92,172.944,94537600
06/01/2022,172.7,175.3,171.64,172,170.057,96904000
07/01/2022,172.89,174.14,171.03,172.17,170.2251,86709100
10/01/2022,169.08,172.5,168.17,172.19,170.2448,106765600
11/01/2022,172.32,175.18,170.82,175.08,173.1022,76138300
12/01/2022,176.12,177.18,174.82,175.53,173.5471,74805200
13/01/2022,175.78,176.62,171.79,172.19,170.2448,84505800
14/01/2022,171.34,173.78,171.09,173.07,171.1149,80440800
18/01/2022,171.51,172.54,169.41,169.8,167.8818,90956700
19/01/2022,170,171.08,165.94,166.23,164.3522,94815000
20/01/2022,166.98,169.68,164.18,164.51,162.6516,91420500
21/01/2022,164.42,166.33,162.3,162.41,160.5753,122848900
24/01/2022,160.02,162.3,154.7,161.62,159.7942,162294600
25/01/2022,158.98,162.76,157.02,159.78,157.975,115798400
26/01/2022,163.5,164.39,157.82,159.69,157.886,108275300
27/01/2022,162.45,163.84,158.28,159.22,157.4213,121954600
28/01/2022,165.71,170.35,162.8,170.33,168.4058,179935700
31/01/2022,170.16,175,169.51,174.78,172.8056,115541600
01/02/2022,174.01,174.84,172.31,174.61,172.6375,86213900
02/02/2022,174.75,175.88,173.33,175.84,173.8536,84914300
03/02/2022,174.48,176.24,172.12,172.9,170.9468,89418100
04/02/2022,171.68,174.1,170.68,172.39,170.6597,82465400
07/02/2022,172.86,173.95,170.95,171.66,169.937,77251200
08/02/2022,171.73,175.35,171.43,174.83,173.0752,74829200
09/02/2022,176.05,176.65,174.9,176.28,174.5107,71285000
10/02/2022,174.14,175.48,171.55,172.12,170.3924,90865900
11/02/2022,172.33,173.08,168.04,168.64,166.9474,98670700
14/02/2022,167.37,169.58,166.56,168.88,167.185,86185500
15/02/2022,170.97,172.95,170.25,172.79,171.0557,62527400
16/02/2022,171.85,173.34,170.05,172.55,170.8181,61177400
17/02/2022,171.03,171.91,168.47,168.88,167.185,69589300
18/02/2022,169.82,170.54,166.19,167.3,165.6208,82772700
22/02/2022,164.98,166.69,162.15,164.32,162.6707,91162800
23/02/2022,165.54,166.15,159.75,160.07,158.4634,90009200
